wallet,totalDepositedUSD,totalBorrowedUSD,totalRepaidUSD,totalWithdrawnUSD,activityCount,uniqueTokens,creditScore
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,15.030517322502183,0.0,0.0,0,6,3,300.00000000000017
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,0.012361424916557983,0.0,0.0,0,1,1,300.0
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,1828190705048209.5,3061.4026722072385,2528.028174943289,0,108,6,311.9766175305739
0x0030040e8d836ac3e546c354f9b373e70a14deeb,0.0,0.0,0.0,0,2,2,300.00000000000006
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,16297.731895335117,4916033571209255.0,0.0,0,58,6,300.0
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1.815047297099417,0.0,0.0,0,1,1,300.00000000000006
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,196.7159780669421,0.0,0.0,0,3,1,300.0000000000013
0x003094a91a3b5523bc601b221f80183bd347e9ae,2.259609878203448,0.0,0.0,0,2,1,300.00000000000006
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,0.04768792449483425,0.0,0.0,0,1,1,300.0
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,9.434955631312997e+16,5.452249408367605e+16,5.360594567068049e+16,0,67,6,839.4497171326938
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1.0031586054611734,0.0,0.0,0,1,1,300.00000000000006
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,1.8071232012074634,0.0,0.0,0,2,2,300.00000000000006
0x0030ee334630838ea4dee0b4b6ecbc973529031f,3999.4172605806134,4580.268039158945,1816.91479412184,0,16,3,300.0
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1051909375190.0908,0.0,0.0,0,1,1,300.0068911389981
0x00326e37cef76788f6b0cf643c94481d60bd3d58,26.554821136395518,0.0,0.0,0,2,2,300.0000000000002
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,2.5019321298000416e+17,6.367324948722527e+17,4.3428295130739846e+17,0,523,7,300.0
0x003325d3054cd7668fb16f19ea11bae6d02a474c,0.0,0.0,0.0,0,5,2,300.00000000000006
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,5.29747208276229e+19,3.5059576652626907e+19,3.5021753381240435e+19,0,162,2,850.0
0x0034d2a08772822866b08d2c585e5c8e25723760,648.7740221834814,0.0,0.0,0,1,1,300.00000000000426
